,Restaurant Name,City,Locality,Longitude,Latitude,Cuisines,Average Cost for two,Has Table booking,Has Online delivery,Is delivering now,Price range,Aggregate rating,Rating color,Rating text,Votes
1044,Dietpoint,Gurgaon,Palam Vihar,77.025184,28.5142695,"Chinese, North Indian",600.0,No,No,No,2,0.0,White,Not rated,0
1045,Gautam Bakery,Gurgaon,Palam Vihar,77.02152,28.4959225,"Bakery, Fast Food",150.0,No,No,No,1,0.0,White,Not rated,0
1047,Hot & Spicy,Gurgaon,Palam Vihar,77.0252309,28.5118122,"North Indian, Chinese, South Indian, Fast Food",450.0,No,No,No,1,0.0,White,Not rated,0
1048,Hot Fork,Gurgaon,Palam Vihar,77.0313937,28.5091367,"Chinese, Fast Food",400.0,No,No,No,1,0.0,White,Not rated,2
1050,Indochi Cafe & Restaurant,Gurgaon,Palam Vihar,77.0411995,28.512055,"North Indian, Mughlai, Chinese",400.0,No,No,No,1,0.0,White,Not rated,1
1051,Love to Wish,Gurgaon,Palam Vihar,77.0378566,28.5125685,"Bakery, Desserts",200.0,No,No,No,1,0.0,White,Not rated,2
1052,M CrÌ¬me,Gurgaon,Palam Vihar,77.04251687,28.52068371,"Bakery, Desserts",700.0,No,No,No,2,0.0,White,Not rated,0
1054,Panther Restaurant,Gurgaon,Palam Vihar,77.0283498,28.5019693,"North Indian, Chinese",600.0,No,No,No,2,0.0,White,Not rated,0
1055,Pizza King,Gurgaon,Palam Vihar,77.01025,28.4936502,"Pizza, Fast Food",600.0,No,No,No,2,0.0,White,Not rated,1
1056,Radha Swami Shudh Vaishno Dhaba,Gurgaon,Palam Vihar,77.0196062,28.4877231,North Indian,300.0,No,No,No,1,0.0,White,Not rated,2
1057,RD's Authentic Aroma,Gurgaon,Palam Vihar,77.0203724,28.4946737,"North Indian, South Indian, Chinese",450.0,No,No,No,1,0.0,White,Not rated,2
1058,Savour,Gurgaon,Palam Vihar,77.0386974,28.51231235,Biryani,250.0,No,No,No,1,0.0,White,Not rated,1
1059,Sheetla Dhaba,Gurgaon,Palam Vihar,77.0358272,28.5033611,North Indian,400.0,No,No,No,1,0.0,White,Not rated,0
1060,Shree Bikaner Mishthan Bhandar,Gurgaon,Palam Vihar,77.0194842,28.4860462,Mithai,500.0,No,No,No,2,0.0,White,Not rated,2
1061,Shree Shyam Bhojnalaya,Gurgaon,Palam Vihar,77.0197876,28.4875817,North Indian,350.0,No,No,No,1,0.0,White,Not rated,3
1062,Shristi Happy Eats,Gurgaon,Palam Vihar,77.0410645,28.5120868,Street Food,150.0,No,No,No,1,0.0,White,Not rated,0
1063,Singh Terrace Grill,Gurgaon,Palam Vihar,77.03139368,28.50913665,North Indian,500.0,No,No,No,2,0.0,White,Not rated,0
1064,Swami Vaishno Dhaba,Gurgaon,Palam Vihar,77.0196976,28.4890966,North Indian,300.0,No,No,No,1,0.0,White,Not rated,0
1065,Wah Ji Wah,Gurgaon,Palam Vihar,77.0219634,28.4968821,North Indian,400.0,No,No,No,1,0.0,White,Not rated,1
1066,Cafe 55 - Park Inn,Gurgaon,"Park Inn, Sector 15, Gurgaon",77.0318264,28.4590795,"Continental, North Indian, Chinese",1500.0,Yes,No,No,3,3.2,Orange,Average,13
1067,New Town Lounge & Bar - Park Plaza,Gurgaon,"Park Plaza, Sushant Lok",77.0756484,28.4592611,"Continental, Finger Food",3000.0,Yes,No,No,4,3.4,Orange,Average,20
1068,New Town Pastry Shop - Park Plaza,Gurgaon,"Park Plaza, Sushant Lok",77.0757697,28.4592519,"Bakery, Desserts",1200.0,No,No,No,3,3.2,Orange,Average,26
1069,New Town Cafe - Park Plaza,Gurgaon,"Park Plaza, Sushant Lok",77.0757094,28.4592449,"Continental, American, North Indian, Chinese",2200.0,Yes,No,No,4,3.7,Yellow,Good,176
1070,The Great Kabab Factory - Park Plaza,Gurgaon,"Park Plaza, Sushant Lok",77.075722,28.4592314,"North Indian, Mughlai",3000.0,Yes,No,No,4,3.7,Yellow,Good,340
1071,K2 Restaurant,Gurgaon,"Plaza Mall, MG Road",77.0730853,28.4777065,"Korean, Chinese",2000.0,Yes,No,No,4,3.0,Orange,Average,21
1072,Angels in my Kitchen,Gurgaon,"Qutab Plaza, DLF Phase 1",77.1019957,28.4722814,"Bakery, Desserts, Fast Food",350.0,No,Yes,No,1,3.1,Orange,Average,84
1073,Barista,Gurgaon,"Qutab Plaza, DLF Phase 1",77.1022778,28.4715146,Cafe,650.0,No,No,No,2,3.3,Orange,Average,41
1074,Cafe Coffee Day,Gurgaon,"Qutab Plaza, DLF Phase 1",77.1017259,28.4718072,Cafe,450.0,No,No,No,1,2.8,Orange,Average,18
1075,Cafe Naklee,Gurgaon,"Qutab Plaza, DLF Phase 1",77.1021755,28.4720297,Cafe,400.0,No,No,No,1,3.2,Orange,Average,10
1076,Chacha's Take Away,Gurgaon,"Qutab Plaza, DLF Phase 1",77.1020406,28.4718823,"North Indian, Mughlai",700.0,No,Yes,No,2,2.8,Orange,Average,16
1077,Colonel's Kababz,Gurgaon,"Qutab Plaza, DLF Phase 1",77.1018865,28.4725209,"North Indian, Mughlai",900.0,Yes,Yes,No,2,3.0,Orange,Average,61
1078,Domino's Pizza,Gurgaon,"Qutab Plaza, DLF Phase 1",77.1024452,28.4719659,"Pizza, Fast Food",700.0,No,No,No,2,2.8,Orange,Average,70
1079,Green Chick Chop,Gurgaon,"Qutab Plaza, DLF Phase 1",77.1022654,28.472128,"Raw Meats, North Indian, Fast Food",350.0,No,No,No,1,2.8,Orange,Average,16
1080,Naushi's Kitchenette,Gurgaon,"Qutab Plaza, DLF Phase 1",77.10254565,28.47211841,"Bakery, Beverages",500.0,No,No,No,2,3.4,Orange,Average,57
1081,Sapra Pastry Treat,Gurgaon,"Qutab Plaza, DLF Phase 1",77.1022654,28.4720383,"Bakery, Fast Food",250.0,No,Yes,No,1,3.0,Orange,Average,33
1082,Subway,Gurgaon,"Qutab Plaza, DLF Phase 1",77.1024003,28.4715582,"American, Fast Food, Salad, Healthy Food",500.0,No,Yes,No,2,3.2,Orange,Average,92
1083,Sunny Sweets,Gurgaon,"Qutab Plaza, DLF Phase 1",77.1017259,28.4715383,"Mithai, Street Food",200.0,No,No,No,1,3.3,Orange,Average,22
1084,The Healthy Rasoi,Gurgaon,"Qutab Plaza, DLF Phase 1",77.1018159,28.4713676,"Healthy Food, North Indian, Beverages",500.0,No,No,No,2,3.7,Yellow,Good,25
1085,Burger King,Gurgaon,"Raheja Mall, Sohna Road",77.0392029,28.4237354,"Burger, Fast Food",500.0,No,Yes,No,2,3.0,Orange,Average,71
1086,Hong Kong Express,Gurgaon,"Raheja Mall, Sohna Road",77.0395802,28.4234228,"Chinese, Thai",700.0,No,Yes,No,2,3.2,Orange,Average,100
1087,Viva Hyderabad,Gurgaon,"Raheja Mall, Sohna Road",77.0394902,28.4234142,"Biryani, North Indian",600.0,No,Yes,No,2,2.3,Red,Poor,32
1088,Cafe Rouge - Ramada,Gurgaon,"Ramada Gurgaon Central, Sector 44",77.0706524,28.4497396,"North Eastern, Continental, South Indian, Fast Food",1500.0,Yes,No,No,3,3.5,Yellow,Good,194
1089,Shamji Sweets,Gurgaon,Sadar Bazar,77.0268394,28.4596657,Mithai,200.0,No,No,No,1,3.2,Orange,Average,15
1090,Sialkoti Vaishno Dhaba,Gurgaon,Sadar Bazar,77.0313172,28.4623451,North Indian,250.0,No,No,No,1,3.1,Orange,Average,16
1091,Haldiram's,Gurgaon,"Sahara Mall, MG Road",77.0868894,28.4797958,"North Indian, South Indian, Chinese, Street Food, Fast Food, Mithai, Desserts",600.0,No,No,No,2,3.6,Yellow,Good,315
1092,Club Prison,Gurgaon,"Sahara Mall, MG Road",77.0865747,28.4797207,Finger Food,1800.0,No,No,No,3,2.4,Red,Poor,53
1093,Maa Bhagwati Tiffins,Gurgaon,Sector 12,77.0324732,28.4636195,North Indian,200.0,No,No,No,1,3.0,Orange,Average,4
1094,Spices & Sauces,Gurgaon,Sector 12,77.0324282,28.4637496,"North Indian, Continental",1500.0,Yes,No,No,3,3.0,Orange,Average,8
1095,Indian Food Cafe,Gurgaon,Sector 12,77.0338596,28.4675057,North Indian,500.0,No,No,No,2,0.0,White,Not rated,1
1096,Assam Tea Corner,Gurgaon,Sector 14,77.0404135,28.4755199,"Chinese, Street Food",150.0,No,No,No,1,2.8,Orange,Average,6
1097,Bakingo,Gurgaon,Sector 14,77.0441684,28.4706936,Bakery,400.0,No,No,No,1,3.0,Orange,Average,4
1098,Balaji Sweets & Snacks,Gurgaon,Sector 14,77.0348123,28.476036,"North Indian, South Indian, Chinese",400.0,No,No,No,1,2.9,Orange,Average,6
1100,Burger Point,Gurgaon,Sector 14,77.0483361,28.4735491,"Burger, Fast Food",300.0,No,No,No,1,3.2,Orange,Average,20
1101,Burger Xpress,Gurgaon,Sector 14,77.0476105,28.4745207,Fast Food,300.0,No,No,No,1,3.1,Orange,Average,20
1102,Cafe Coffee Day,Gurgaon,Sector 14,77.046327,28.4775051,Cafe,450.0,No,No,No,1,2.8,Orange,Average,34
1103,Cake Factory,Gurgaon,Sector 14,77.0204025,28.4703517,"Bakery, Desserts",300.0,No,Yes,No,1,3.3,Orange,Average,36
1104,Cake Maker,Gurgaon,Sector 14,77.0424008,28.4741041,"Street Food, Bakery",200.0,No,No,No,1,3.0,Orange,Average,5
1105,Captain's Table,Gurgaon,Sector 14,77.0474607,28.4740266,"Bakery, Desserts",200.0,No,No,No,1,3.1,Orange,Average,41
1106,Carpedium,Gurgaon,Sector 14,77.0475174,28.474015,"Bakery, Desserts",200.0,No,No,No,1,3.1,Orange,Average,7
1108,Chinar Junction,Gurgaon,Sector 14,77.04808339,28.48038451,"North Indian, Chinese",600.0,No,No,No,2,2.8,Orange,Average,8
1109,Frontier,Gurgaon,Sector 14,77.0424589,28.4739949,Bakery,200.0,No,No,No,1,2.9,Orange,Average,10
1111,Indian & Chinese Corner,Gurgaon,Sector 14,77.048056,28.4730599,"North Indian, Chinese",400.0,No,No,No,1,3.1,Orange,Average,21
1112,Juice Lounge,Gurgaon,Sector 14,77.0445066,28.4694139,"Beverages, Fast Food",350.0,No,No,No,1,3.4,Orange,Average,25
1113,KB's Kulfi & Icecream,Gurgaon,Sector 14,77.0494753,28.4822008,Ice Cream,200.0,No,Yes,No,1,3.3,Orange,Average,19
1114,KB's Kulfi & Icecream,Gurgaon,Sector 14,77.0439881,28.4754869,Ice Cream,200.0,No,Yes,No,1,3.3,Orange,Average,43
1115,Keventers,Gurgaon,Sector 14,77.0481041,28.4736495,Beverages,250.0,No,No,No,1,2.6,Orange,Average,18
1116,KFC,Gurgaon,Sector 14,77.047405,28.4740886,"American, Fast Food, Burger",500.0,No,Yes,No,2,2.7,Orange,Average,17
1117,Madras Cafe,Gurgaon,Sector 14,77.0456073,28.476629,"South Indian, North Indian, Chinese, Fast Food",300.0,No,No,No,1,3.3,Orange,Average,69
1118,Madurai Meenakshi Bhawan,Gurgaon,Sector 14,77.0473507,28.4740911,"South Indian, North Indian",300.0,No,No,No,1,3.4,Orange,Average,25
1119,Masala Fusion,Gurgaon,Sector 14,77.0424589,28.4740845,"North Indian, Chinese",600.0,No,Yes,No,2,3.2,Orange,Average,52
1120,Moti Mahal Delux Tandoori Trail,Gurgaon,Sector 14,77.0351491,28.4665409,"North Indian, Continental",800.0,Yes,No,No,2,2.9,Orange,Average,16
1122,Pind Bawarchi,Gurgaon,Sector 14,77.0482744,28.4728921,"North Indian, Chinese",600.0,No,Yes,No,2,3.1,Orange,Average,8
1123,Republic of Chicken,Gurgaon,Sector 14,77.0484406,28.4736075,"Raw Meats, Fast Food",400.0,No,No,No,1,2.8,Orange,Average,9
1124,Ridhi Sidhi,Gurgaon,Sector 14,77.020392,28.4703532,"North Indian, Chinese, South Indian",500.0,No,Yes,No,2,3.0,Orange,Average,30
1125,Romi Da Dhaba,Gurgaon,Sector 14,77.0432685,28.4750589,North Indian,450.0,No,No,No,1,3.2,Orange,Average,34
1126,Shamji Sweets,Gurgaon,Sector 14,77.0394496,28.4702133,"Mithai, South Indian, Chinese, Street Food, North Indian",600.0,No,No,No,2,2.9,Orange,Average,26
1127,Six Pack Kitchen,Gurgaon,Sector 14,77.0453042,28.4699753,"Healthy Food, Continental",600.0,No,No,No,2,3.2,Orange,Average,13
1128,Taste of Dilli 6,Gurgaon,Sector 14,77.0474907,28.4749637,"Chinese, North Indian",650.0,No,Yes,No,2,2.7,Orange,Average,9
1129,The Guls,Gurgaon,Sector 14,77.0349543,28.4768261,North Indian,650.0,No,No,No,2,3.0,Orange,Average,21
1130,The League Restaurant,Gurgaon,Sector 14,77.0432685,28.4751486,"North Indian, Chinese",900.0,Yes,No,No,2,3.1,Orange,Average,17
1131,The Plaza Solitaire,Gurgaon,Sector 14,77.044168,28.4751457,"North Indian, Mughlai, Chinese, South Indian",900.0,Yes,No,No,2,3.3,Orange,Average,32
1132,Uttarakhand Fast Food,Gurgaon,Sector 14,77.0363305,28.4758641,North Indian,200.0,No,No,No,1,2.9,Orange,Average,6
1133,Viva Hyderabad,Gurgaon,Sector 14,77.0445955,28.4764122,"Biryani, North Indian",600.0,No,Yes,No,2,2.5,Orange,Average,70
1134,Wahid Food Corner,Gurgaon,Sector 14,77.0347763,28.4758171,North Indian,400.0,No,No,No,1,2.8,Orange,Average,6
1135,Zync - Rosewood Hotel,Gurgaon,Sector 14,77.037225,28.46715278,"North Indian, Chinese, Continental",1000.0,Yes,No,No,3,3.0,Orange,Average,5
1136,Konetto Pizza,Gurgaon,Sector 14,77.0462096,28.4783985,Pizza,150.0,No,No,No,1,3.5,Yellow,Good,32
1137,South Store,Gurgaon,Sector 14,77.0475378,28.4743176,South Indian,200.0,No,No,No,1,3.5,Yellow,Good,64
1138,Grill & Cafe,Gurgaon,Sector 14,77.0404798,28.4662742,"Chinese, Mughlai, North Indian",600.0,No,No,No,2,0.0,White,Not rated,3
1139,Gurgaon Mughlai Chicken,Gurgaon,Sector 14,77.0351435,28.4771621,"North Indian, Mughlai",350.0,No,No,No,1,0.0,White,Not rated,2
1140,Mughal Chicken Corner,Gurgaon,Sector 14,77.0349588,28.4786503,"North Indian, Mughlai",500.0,No,No,No,2,0.0,White,Not rated,3
1141,Oven Aroma,Gurgaon,Sector 14,77.0495364,28.4823461,Bakery,400.0,No,Yes,No,1,0.0,White,Not rated,3
1142,Radha Swami Shudh Vaishno Dhaba,Gurgaon,Sector 14,77.0384802,28.4756545,North Indian,350.0,No,No,No,1,0.0,White,Not rated,3
1143,Special No.1 Biryani Corner,Gurgaon,Sector 14,77.0444379,28.4762474,Mughlai,700.0,No,No,No,2,0.0,White,Not rated,2
1144,Sun Sweets Restaurant,Gurgaon,Sector 14,77.0335214,28.464266,"Street Food, Mithai, North Indian, South Indian, Chinese",400.0,No,No,No,1,0.0,White,Not rated,3
1145,Captain Bill$ Deliverz,Gurgaon,Sector 14,77.0476588,28.4738648,"North Indian, Chinese, Fast Food",1000.0,No,Yes,Yes,3,2.4,Red,Poor,23
1146,China Hut,Gurgaon,Sector 14,77.0376289,28.4758573,"Chinese, Fast Food",300.0,No,No,No,1,2.4,Red,Poor,18
1147,G Dot,Gurgaon,Sector 14,77.0338227,28.4785399,"North Indian, South Indian, Chinese",400.0,No,Yes,No,1,2.4,Red,Poor,26
1148,Cake2you,Gurgaon,Sector 15,77.0371148,28.4579792,"Bakery, Desserts",400.0,No,No,No,1,3.0,Orange,Average,4
1149,Delight Express,Gurgaon,Sector 15,77.0435543,28.4583117,"Chinese, North Indian",400.0,No,No,No,1,2.9,Orange,Average,6
1150,Empress,Gurgaon,Sector 15,77.033231,28.4568511,"North Indian, Chinese",1000.0,Yes,No,No,3,2.9,Orange,Average,5
1151,Hotel DDR,Gurgaon,Sector 15,77.0344852,28.4588673,"North Indian, Chinese, Mughlai",500.0,No,No,No,2,2.8,Orange,Average,10
1152,Khan Kabab Corner,Gurgaon,Sector 15,77.0380952,28.4555436,"Mughlai, North Indian",500.0,No,No,No,2,3.0,Orange,Average,4
1153,Kwality Cakes and Bakes,Gurgaon,Sector 15,77.0381307,28.4555152,"Bakery, Desserts, Fast Food",350.0,No,No,No,1,3.2,Orange,Average,12
1154,Nite Bites,Gurgaon,Sector 15,77.041878,28.460253,"North Indian, Chinese, Continental",650.0,No,Yes,No,2,2.9,Orange,Average,4
1155,Oriental Kitchen Express,Gurgaon,Sector 15,77.0367474,28.4577727,"Chinese, Thai",450.0,No,Yes,No,1,3.3,Orange,Average,14
1156,Royal Mart,Gurgaon,Sector 15,77.0390954,28.4544096,"Bakery, Fast Food",300.0,No,No,No,1,2.9,Orange,Average,4
1157,Sikkim Fast Food,Gurgaon,Sector 15,77.0435095,28.4584547,Chinese,350.0,No,No,No,1,2.7,Orange,Average,36
1159,Maachh Bhaat,Gurgaon,Sector 17,77.0609808,28.4950876,Oriya,600.0,No,Yes,No,2,3.4,Orange,Average,256
1161,Bablu Fast Food,Gurgaon,Sector 17,77.0633149,28.4978576,Chinese,300.0,No,No,No,1,0.0,White,Not rated,0
1162,Bikaner Sweets Snacks & Restaurant,Gurgaon,Sector 17,77.0671006,28.4906203,"Bakery, Chinese, North Indian",250.0,No,No,No,1,0.0,White,Not rated,0
1163,Bikaner Sweets,Gurgaon,Sector 17,77.056052,28.4890258,"North Indian, Street Food, Mithai",350.0,No,No,No,1,0.0,White,Not rated,0
1164,Biryani & Rolls,Gurgaon,Sector 17,77.0580477,28.4777059,North Indian,400.0,No,No,No,1,0.0,White,Not rated,0
1167,Delight Express,Gurgaon,Sector 17,77.0610203,28.4780353,"Raw Meats, North Indian, Chinese",400.0,No,No,No,1,0.0,White,Not rated,2
1168,Dilli Rasoi,Gurgaon,Sector 17,77.057516,28.4879806,North Indian,200.0,No,No,No,1,0.0,White,Not rated,0
1169,Dujal Cafe,Gurgaon,Sector 17,77.0608014,28.4776466,Chinese,250.0,No,No,No,1,0.0,White,Not rated,0
1170,Full Dabba,Gurgaon,Sector 17,77.0633585,28.4978501,"North Indian, South Indian",300.0,No,No,No,1,0.0,White,Not rated,1
1171,HSI Food World,Gurgaon,Sector 17,77.0670595,28.4772163,"North Indian, Chinese",600.0,No,No,No,2,0.0,White,Not rated,0
1172,Krishna Restaurant,Gurgaon,Sector 17,77.0616195,28.4756552,"North Indian, South Indian, Chinese, Fast Food",500.0,No,No,No,2,0.0,White,Not rated,1
1173,Lajawaab House Cafe,Gurgaon,Sector 17,77.0607991,28.4779663,"North Indian, South Indian, Chinese",500.0,No,No,No,2,0.0,White,Not rated,0
1175,Modern Sweets,Gurgaon,Sector 17,77.0603242,28.4753834,"Mithai, Street Food",100.0,No,No,No,1,0.0,White,Not rated,2
1176,Radha Swami Shudh Vaishno Dhaba,Gurgaon,Sector 17,77.0558517,28.488876,North Indian,150.0,No,No,No,1,0.0,White,Not rated,1
1177,Raju Vaishno Amritsari Dhaba,Gurgaon,Sector 17,77.0598733,28.4752695,North Indian,150.0,No,No,No,1,0.0,White,Not rated,0
1178,Rustic Flavours,Gurgaon,Sector 17,77.0605389,28.4783366,North Indian,550.0,No,No,No,2,0.0,White,Not rated,2
1179,VK Food Court,Gurgaon,Sector 17,77.0610258,28.4755709,"North Indian, Chinese",400.0,No,No,No,1,0.0,White,Not rated,0
1180,Domino's Pizza,Gurgaon,Sector 21,77.0714215,28.5097704,"Pizza, Fast Food",700.0,No,No,No,2,3.3,Orange,Average,32
1181,GoGourmet,Gurgaon,Sector 21,77.0716913,28.5094378,"Healthy Food, Beverages",600.0,No,No,No,2,3.2,Orange,Average,8
1182,Snack Shack,Gurgaon,Sector 21,77.0714215,28.5095911,Chinese,400.0,No,Yes,No,1,2.7,Orange,Average,15
1183,WestÌ©ross,Gurgaon,Sector 21,77.0693827,28.510128,"Italian, Mexican",400.0,No,Yes,No,1,3.5,Yellow,Good,40
1184,Fruitpro,Gurgaon,Sector 21,77.0716913,28.5100652,Beverages,150.0,No,No,No,1,0.0,White,Not rated,0
1186,Tpot,Gurgaon,Sector 21,77.0712645,28.5096025,Cafe,800.0,No,Yes,No,2,0.0,White,Not rated,3
1187,Cake Desire,Gurgaon,Sector 22,77.0644469,28.5029596,Bakery,400.0,No,No,No,1,3.0,Orange,Average,4
1189,Divine Bites,Gurgaon,Sector 22,77.0622916,28.5029001,Bakery,300.0,No,Yes,No,1,0.0,White,Not rated,0
1191,Kwality wall's swirl's,Gurgaon,Sector 22,77.0738509,28.5101456,Ice Cream,200.0,No,No,No,1,0.0,White,Not rated,0
1192,Milan Apna Dhaba,Gurgaon,Sector 22,77.0689476,28.5035524,North Indian,300.0,No,No,No,1,0.0,White,Not rated,0
1193,R S Foods,Gurgaon,Sector 22,77.0696558,28.5050072,"Mughlai, North Indian",450.0,No,No,No,1,0.0,White,Not rated,0
1195,Shahi  Chicken Corner,Gurgaon,Sector 22,77.0691386,28.5035991,Mughlai,250.0,No,No,No,1,0.0,White,Not rated,0
1196,Behrouz Biryani,Gurgaon,Sector 23,77.0541384,28.5041335,Biryani,600.0,No,Yes,No,2,3.4,Orange,Average,17
1197,Biryani Art,Gurgaon,Sector 23,77.0535606,28.5041041,"Hyderabadi, North Indian, Biryani",1100.0,Yes,Yes,No,3,3.3,Orange,Average,8
1198,Daawat-e! Amritsar,Gurgaon,Sector 23,77.0646633,28.5029179,Mughlai,700.0,No,Yes,No,2,2.9,Orange,Average,27
1199,Faasos,Gurgaon,Sector 23,77.0538414,28.5041074,"North Indian, Fast Food",600.0,No,Yes,No,2,3.0,Orange,Average,13
1200,Ovenstory Pizza,Gurgaon,Sector 23,77.0540643,28.5041784,"Pizza, Fast Food",500.0,No,Yes,No,2,3.3,Orange,Average,15
1201,Pizza Hut Delivery,Gurgaon,Sector 23,77.0541569,28.504122,"Italian, Pizza, Fast Food",800.0,No,Yes,No,2,2.7,Orange,Average,53
1202,Game n Grillz,Gurgaon,Sector 23,77.051885,28.5046578,"North Indian, Chinese, Fast Food",850.0,Yes,No,No,2,3.6,Yellow,Good,169
1203,Hamoni Red: Play Cafe,Gurgaon,Sector 23,77.0537818,28.500642,Cafe,900.0,No,No,No,2,3.9,Yellow,Good,25
1204,Firangi Bake,Gurgaon,Sector 23,77.054079,28.5042056,Bakery,300.0,No,Yes,No,1,0.0,White,Not rated,0
1205,Indochi,Gurgaon,Sector 23,77.0516126,28.5048386,"Chinese, Fast Food, North Indian",250.0,No,No,No,1,0.0,White,Not rated,0
1206,Kettle & Kegs,Gurgaon,Sector 23,77.0540696,28.5042347,Tea,200.0,No,Yes,No,1,0.0,White,Not rated,3
1207,The Food Garage,Gurgaon,Sector 23,77.0545497,28.5041169,"Chinese, North Indian",550.0,No,No,No,2,0.0,White,Not rated,2
1208,Machan,Gurgaon,Sector 29,77.0644064,28.4664277,"North Indian, Chinese",900.0,Yes,No,No,2,3.3,Orange,Average,88
1209,Mainland China,Gurgaon,Sector 29,77.0623603,28.4686372,Chinese,1800.0,Yes,No,No,3,3.3,Orange,Average,563
1210,Pind Balluchi,Gurgaon,Sector 29,77.0644064,28.4680413,"North Indian, Mughlai",800.0,No,Yes,No,2,3.4,Orange,Average,1022
1211,Sagar Ratna,Gurgaon,Sector 29,77.0629673,28.4681718,"South Indian, North Indian, Chinese",600.0,No,No,No,2,2.7,Orange,Average,235
1212,Sasuraal,Gurgaon,Sector 29,77.0624277,28.4686577,"North Indian, Mughlai",1400.0,Yes,Yes,No,3,3.3,Orange,Average,586
1213,feel ALIVE,Gurgaon,Sector 29,77.0641366,28.4679257,"North Indian, American, Asian, Biryani",1200.0,Yes,No,No,3,4.7,Dark Green,Excellent,69
1214,Matchbox,Gurgaon,Sector 29,77.0626075,28.4682268,"Continental, North Indian, Chinese",1500.0,Yes,No,No,3,4.8,Dark Green,Excellent,245
1215,Prankster,Gurgaon,Sector 29,77.0633573,28.4691662,"Modern Indian, North Indian",1500.0,Yes,No,No,3,4.8,Dark Green,Excellent,1478
1216,21 Gun Salute,Gurgaon,Sector 29,77.0631472,28.4681891,"North Indian, Mughlai, Asian, Continental",2000.0,Yes,Yes,No,4,3.9,Yellow,Good,1365
1217,Backyard Underground,Gurgaon,Sector 29,77.063143,28.468337,"Continental, Italian, North Indian, American",1400.0,Yes,No,No,3,3.5,Yellow,Good,134
1218,Bikanervala,Gurgaon,Sector 29,77.0635969,28.4686806,"Mithai, North Indian, South Indian, Fast Food, Street Food, Chinese",550.0,No,Yes,No,2,3.8,Yellow,Good,966
1219,Chin Chin,Gurgaon,Sector 29,77.0626975,28.4682354,Chinese,1500.0,Yes,Yes,No,3,3.5,Yellow,Good,429
1220,Domino's Pizza,Gurgaon,Sector 29,77.0632194,28.4682247,"Pizza, Fast Food",700.0,No,No,No,2,3.6,Yellow,Good,146
1221,Eggjactly,Gurgaon,Sector 29,77.0678878,28.4685801,"American, Fast Food",500.0,No,No,No,2,3.7,Yellow,Good,241
1222,Gola Sizzlers,Gurgaon,Sector 29,77.063417,28.4683943,"Chinese, North Indian, Mughlai, Continental",1500.0,Yes,No,No,3,3.5,Yellow,Good,853
1223,Hunter Valley,Gurgaon,Sector 29,77.0638106,28.4673849,"Mexican, Italian, North Indian, Chinese",1600.0,Yes,No,No,3,3.6,Yellow,Good,254
1224,Jungle Jamboree,Gurgaon,Sector 29,77.0640466,28.4673792,"Continental, Chinese, Thai, Mughlai, North Indian",1500.0,Yes,No,No,3,3.8,Yellow,Good,1317
1225,McDonald's,Gurgaon,Sector 29,77.0632371,28.4682874,"Fast Food, Burger",500.0,No,Yes,No,2,3.5,Yellow,Good,187
1226,My Bar Headquarters By Dockyard,Gurgaon,Sector 29,77.0644064,28.4679517,"Continental, North Indian, Chinese, European, Asian",1500.0,Yes,No,No,3,3.9,Yellow,Good,401
1227,Punjabi by Nature,Gurgaon,Sector 29,77.0624277,28.4691956,North Indian,1500.0,Yes,Yes,No,3,3.6,Yellow,Good,302
1228,Sandys Cocktails & Kitchen,Gurgaon,Sector 29,77.0712417,28.472016,"Asian, European",1800.0,Yes,Yes,No,3,3.9,Yellow,Good,297
1229,Sense Of Spirits,Gurgaon,Sector 29,77.0633627,28.4695542,"North Indian, Chinese, Continental, Thai",1200.0,Yes,No,No,3,3.9,Yellow,Good,280
1230,Starbucks,Gurgaon,Sector 29,77.0632371,28.468377,Cafe,700.0,No,No,No,2,3.7,Yellow,Good,269
1231,Swagath,Gurgaon,Sector 29,77.0628774,28.4696871,"North Indian, Chinese, South Indian, Seafood, Chettinad",1500.0,Yes,No,No,3,3.6,Yellow,Good,289
1232,The Old School Brew House,Gurgaon,Sector 29,77.0641949,28.467777,"Continental, Burger, Pizza, North Indian, European, Finger Food",2000.0,Yes,No,No,4,3.9,Yellow,Good,96
1233,Barcelos,Gurgaon,Sector 29,77.0624025,28.4691552,"Portuguese, African, Lebanese",1400.0,Yes,No,No,3,4.0,Green,Very Good,322
1234,Boombox Brewstreet,Gurgaon,Sector 29,77.0642265,28.4679344,"North Indian, Italian, Chinese, American",1600.0,Yes,No,No,3,4.4,Green,Very Good,391
1235,BRONX Bar Exchange,Gurgaon,Sector 29,77.063417,28.4681254,"Chinese, Continental, North Indian, Mexican",2100.0,No,No,No,4,4.1,Green,Very Good,569
1236,Djinggs,Gurgaon,Sector 29,77.0642265,28.4679344,"Asian, Seafood",1500.0,No,No,No,3,4.1,Green,Very Good,105
1237,Downtown - Diners & Living Beer Cafe,Gurgaon,Sector 29,77.0631922,28.4683279,"North Indian, Chinese, Italian, Continental",1800.0,No,No,No,3,4.4,Green,Very Good,3569
1238,Drifters Cafe,Gurgaon,Sector 29,77.0671046,28.471349,"Chinese, Thai, Asian",400.0,No,No,No,1,4.1,Green,Very Good,208
